year,driverRef,constructorRef,grid,position,driverName,constructorName
2012,ricciardo,toro_rosso,15,12.0,Daniel Ricciardo,Toro Rosso
2012,rosberg,mercedes,7,13.0,Nico Rosberg,Mercedes
2012,button,mclaren,2,14.0,Jenson Button,McLaren
2012,massa,ferrari,12,15.0,Felipe Massa,Ferrari
2012,petrov,caterham,19,16.0,Vitaly Petrov,Caterham
2012,glock,marussia,20,17.0,Timo Glock,Marussia
2012,kovalainen,caterham,24,18.0,Heikki Kovalainen,Caterham
2012,maldonado,williams,11,19.0,Pastor Maldonado,Williams
2012,pic,marussia,21,20.0,Charles Pic,Marussia
2012,karthikeyan,hrt,23,21.0,Narain Karthikeyan,HRT
2012,rosa,hrt,22,22.0,Pedro de la Rosa,HRT
2013,vettel,red_bull,1,1.0,Sebastian Vettel,Red Bull
2013,webber,red_bull,5,2.0,Mark Webber,Red Bull
2013,hamilton,mercedes,4,3.0,Lewis Hamilton,Mercedes
2013,rosberg,mercedes,6,4.0,Nico Rosberg,Mercedes
2013,massa,ferrari,2,5.0,Felipe Massa,Ferrari
2013,grosjean,lotus_f1,11,6.0,Romain Grosjean,Lotus F1
2013,raikkonen,lotus_f1,10,7.0,Kimi Räikkönen,Lotus F1
2013,hulkenberg,sauber,12,8.0,Nico Hülkenberg,Sauber
2013,perez,mclaren,9,9.0,Sergio Pérez,McLaren
2013,vergne,toro_rosso,17,10.0,Jean-Éric Vergne,Toro Rosso
2013,bottas,williams,18,11.0,Valtteri Bottas,Williams
2013,gutierrez,sauber,14,12.0,Esteban Gutiérrez,Sauber
2013,jules_bianchi,marussia,19,13.0,Jules Bianchi,Marussia
2013,pic,caterham,20,14.0,Charles Pic,Caterham
2013,garde,caterham,22,15.0,Giedo van der Garde,Caterham
2013,chilton,marussia,21,16.0,Max Chilton,Marussia
2013,button,mclaren,7,17.0,Jenson Button,McLaren
2013,ricciardo,toro_rosso,13,18.0,Daniel Ricciardo,Toro Rosso
2014,hamilton,mercedes,1,1.0,Lewis Hamilton,Mercedes
2014,rosberg,mercedes,3,2.0,Nico Rosberg,Mercedes
